IDETOR,IDEAPO
92357775X,83165230J
92360931S,74642716B
92361423R,96591050C
92362357S,57749635Q
92363723R,87064672N
92364482R,86744782Y
92366405S,51823814F
92366448N,02082795F
92367031C,46525534F
92367756D,49597404C
92368131Q,85293158G
92368902M,75877845V
92371466Q,20828457W
92372318V,75561258W
92373341M,93002849A
92374078Y,71898571L
92375030S,30356834P
92377122Z,06181051P
92377335C,31639643S
92377443J,62006076P
92377552F,89764928E
92377687G,67648861L
92377978L,24483930Q
92379040T,61099559J
92379282N,44681880X
92381633V,08775790W
92382009W,29492471P
92382046Q,00128034Q
92383160A,04799023G
92383200C,52762225H
92384081G,26819178M
92384331R,94835752J
92384845D,78811095P
92385317K,79252387E
92386319B,21755163S
92386612M,32326370P
92388397L,54005498A
92390151W,43499130N
92393188A,59738079H
92394331L,04977501W
92394341Y,91403715J
92394758D,45475447P
92395732V,21941086Y
92396871Y,89617335C
92398870G,46502079N
92399818D,24057712B
92400808X,99600260W
92400966F,77198302K
92401864P,19519300M
92401950W,17551131S
92402145J,54296781Z
92403197F,15573314Z
92403198P,14508703G
92403772F,96265256K
92404359L,90281110S
92405007T,84224018L
92405122T,57860501E
92407488C,94871498V
92407533L,84388703R
92408995D,74827549Q
92410765P,68076828W
92411589G,69814266C
92412304Y,87628313S
92414528E,74624037P
92414700X,08431975Z
92417534S,78594822G
92418062Z,04395745P
92418189A,64600944Q
92418484E,37931853T
92421781F,79418912G
92422602T,18505706K
92422950A,22601348F
92425432R,88895656N
92425931V,42059434R
92426841F,11401654W
92427026P,52724652G
92428808L,69513931L
92429859N,69776793Z
92430031T,23367296D
92430515R,94219656H
92430791R,32806470Y
92431209M,30692239G
92431601Y,70388851L
92431685K,37055476S
92433343T,02809273F
92433450S,13893764Q
92434268M,70418841V
92434552J,29468999L
92435072G,34149075D
92437615V,95140486C
92437919E,29229261X
92439187W,93694479T
92439277T,70175260Y
92440029Q,79926723K
92441151B,57300824G
92441614Z,28463706X
92441714E,40204170D
92441826L,00154405Y
92442951V,36057809L
92443703X,16499957X
92445069L,49037795R
92446964M,02528278A
92447660B,50306809J
92448110R,80175753F
92450896G,36760226Q
92451042N,63154019K
92451623H,14525787E
92452452L,39383580J
92452466X,67118507E
92452791J,73382551Q
92452900F,01423686D
92453387B,69848496A
92453502B,96119047T
92453573J,52230193E
92456520Q,14734693L
92456941T,39049882E
92457691Z,43013146H
92457986X,32130372Q
92460469D,81462099D
92462961V,37624143F
92463087M,59051207H
92463506X,99542425N
92463556Z,43089188E
92463846M,82328892R
92465822A,45083866W
92467776W,69782797S
92468437L,65045596D
92469113M,45819563K
92469711M,00474591D
92470900K,31547830H
92475086K,18832912Y
92476815W,14796621P
92478817A,23890254Q
92478842M,04029495X
92479795S,97682103E
92480093Z,36522036Z
92482372Q,81308183D
92483578A,07375523K
92484790L,60492401D
92485468F,19144012P
92487469F,66451957N
92487897K,57624975Q
92488106T,34365139B
92489418R,30763727P
92490249G,79544739K
92490486B,28458281J
92494090G,95750201M
92496040E,32269310B
92497325L,48160726Z
92498936C,40929975A
92499375E,38242271X
92499583T,41076738A
92499652T,15526679T
92499781Z,46983450Q
92500179K,77768307V
92501670V,42308125Q
92503758N,49916836M
92505689B,89322817V
92507133Y,99631371V
92507855S,06986087K
92508503L,84467016E
92509116B,02684954A
92510220B,19209559M
92510252C,14873210F
92510953P,14656322D
92511196K,37449326J
92511702K,71919772Z
92511790V,60349941B
92512912N,22732993T
92512963V,94645630D
92513310L,03636445F
92513494L,92048860P
92516940S,32765954Q
92519096D,04405297S
92519367G,21201315F
92519795H,95756815H
92519806Y,79112187F
92521091A,45127478Y
92521709T,98378063W
92523086C,83768382J
92525550T,53598950A
92526288W,05173405S
92526549X,47341277D
92527393A,87093354J
92527606D,34351367Q
92528539E,66633622T
92528763Q,99589974C
92528857H,80675289Y
92530764Q,58289120J
92530871P,60321837J
92531091K,77292759V
92532339G,16218299X
92535453J,82494231Q
92535484K,59852286F
92537052W,44320618D
92538143N,26743236D
92538519C,65156064P
92539330A,23754607T
92540026D,08581754V
92540544K,84291203K
92541075T,56552073H
92541893J,56919100B
92543159Z,00294992V
92545488C,23250075L
92546308N,90688983Y
92547435N,33284087M
92547577Q,86079093Y
92547686X,39195248M
92547994L,33603875R
92548562N,95350875M
92548564Z,89730418N
92551455F,72939903A
92551740Q,12750495P
92551867M,25909019W
92552100P,92084398B
92554262P,51195766C
92556318V,97187129P
92558439E,26882986B
92560822J,13427043B
92560838Y,93578265M
92562394K,55018462R
92563384E,46071357B
92564520P,71182751M
92564808C,23170343M
92567430C,89991164F
92568227N,61483823Q
92568295B,14873102Z
92569630N,34218197Q
92570208S,27109789B
92571685C,42789744S
92571715G,83912318S
92573600A,15054496F
92574460N,34032815Z
92575125X,30484372B
92575464G,24916026B
92575672M,08668180D
92575812F,56164967W
92577565N,09333478D
92577936S,13088369N
92578445H,91810179K
92579008Y,72402423X
92579302R,94930448H
92579945T,32904711Z
92582793L,77403562Y
92583581W,91289058B
92584527M,62037803H
92586017T,21801500F
92588617R,56658577D
92588982K,89701926V
92590702Q,91250020G
92591163V,61928345V
92593992V,73399088Q
92594958V,50829817R
92595018P,67054259J
92595117S,40648771C
92595146K,87981557W
92595860E,77420288B
92595986X,84233284Q
92596749Z,14940938T
92598072A,93526709S
92598264B,76135046D
92598720F,72261585R
92600245Z,30233001F
92603958R,02765021F
92604162K,88894566A
92606521B,82465234E
92607071D,14398497Z
92607489J,90587091G
92608038X,26049280D
92608490W,41658389F
92610580E,84466156J
92612609G,69569004F
92613760M,14773606Q
92613907Z,74441681L
92614657M,29265125V
92614857K,98941808V
92615073F,27992358R
92616410X,67040589M
92617782W,36447041E
92620493E,81308530B
92620917D,02111292F
92621278W,95756934E
92621567S,93721553A
92622587T,77810690B
92622724E,34196673C
92623670W,15278123M
92624142Z,33414662D
92624323B,50617589V
92624536V,82547831A
92624725E,54268478R
92624827D,07948705C
92625020H,96303522S
92625398M,16376208R
92625978X,17547180C
92628163X,95011109H
92628480M,10975097A
92629215G,71222695K
92631446G,96267365Z
92631581R,60839124F
92632482M,45910795N
92635663N,11041856Q
92636845K,32747556H
92637447W,55322528F
92638234F,20873594J
92640901Y,04927173K
92641953T,97287306C
92642060S,46646867S
92642850T,66402836L
92643260L,01243744L
92644965E,12727040J
92645248Y,02338902D
92645259V,56201714H
92645864R,84711680N
92646291Z,91716715Y
92647395Z,07271006Q
92647857Q,17187321L
92649453W,98003081N
92649652V,40361149J
92652950A,97815508G
92653413Y,86028623K
92653516V,17628870Z
92653656L,74242027M
92653987M,54670699K
92654201N,77571506G
92655859Z,75608072B
92657313L,26819978T
92657639T,13895910T
92659216J,21648978K
92659739F,25898712E
92660621S,67179759W
92661379Z,57833546T
92661600M,51884155L
92662623Q,67771640R
92664305L,38073433S
92666932R,88444546R
92669234A,72853904R
92669580G,55757843R
92671422Y,64190497G
92672021F,62220000D
92672613R,37571954M
92673867J,40466565C
92674741J,53546295H
92675731Z,49412100G
92676565C,48587538S
92676670X,28958835H
92677583A,67899683A
92678763X,50320410K
92679958D,09978362L
92680596A,04262591R
92682190X,64079128R
92683363X,72406512M
92683951T,72543189Q
92687048S,48630059D
92687574N,51338861D
92690838X,66377279S
92691063M,24433354V
92691133Y,11101850A
92692197N,26416890X
92695151E,48934784F
92695413P,27326515P
92695785N,02403223E
92698946E,73640777K
92701672B,15288518G
92701928Z,72136199B
92701973J,98909718N
92702945L,74158457V
92704471G,52272687N
92704878C,10161256V
92705344A,30562133D
92707426S,91968580K
92708623Q,09583089R
92709424N,81934773X
92711028Y,36673437Y
92713017V,41248653Q
92713979J,00603546A
92715325W,69808153W
92715695G,32796603Y
92717306M,65571796S
92718338W,17393710Y
92719462E,43340288P
92720056H,32995341R
92720218L,41224172F
92721282W,96108944V
92723519P,46122556N
92723946K,24323284W
92724686W,29094912G
92727314P,57327484F
92727418C,52717028Q
92728511D,21825611Z
92729052K,84003132W
92730187Y,32434945T
92732253W,02069496W
92734123D,38280237A
92736080B,50772365A
92736566Z,89718010R
92736752Q,02694003J
92737455Y,52262789G
92737461N,32339435D
92737557Q,77583581G
92738777V,75933830C
92740254E,30677211H
92740404B,68996508G
92740989K,72022245E
92741231X,05584468E
92742110S,30624535N
92743269R,21029694N
92743926Z,71934016K
92743975V,03789133K
92744709S,73318839Z
92747007J,02640194R
92747358L,69963280V
92747537Z,89159284Z
92748562G,07542383Q
92748737H,21662501C
92748883A,26392321M
92748940Z,91834405M
92749826A,45015697M
92750813R,15481788M
92750916N,13906623H
92751671P,82072911X
92752328K,79894583N
92752825N,65892343B
92754908W,41164625F
92754993H,85470984V
92755242Z,78949847R
92756354E,25417251C
92756964B,97505001C
92757940K,86411978N
92758608E,23488513Q
92760114X,04315700A
92760781X,65717010F
92762274P,89797130R
92762361A,97407000E
92764390P,50745309H
92765003T,98809898N
92766882Q,48373431S
92767079Y,48663113N
92767161L,91304827W
92767671T,81115287Z
92768091Y,58185456X
92769009G,65288375T
92771564Y,86477901V
92771631G,76525931D
92771747M,61211025K
92773011G,50626246A
92774468N,03247925A
92774653J,81904802P
92774899Y,62200431J
92774944M,89499185K
92775054T,51519325S
92775591P,80875182Y
92776783G,98799827S
92777072V,18121983F
92777249X,41391231V
92777403A,61953577H
92777829S,75038018N
92778133C,22475118R
92778689R,75341961X
92778697D,20773259G
92779746T,30789617T
92779965N,47568454S
92781520A,24472580M
92785882H,99175903H
92786733H,57015675D
92787020Y,89858745E
92788726X,18480517V
92788800S,35773597H
92788971W,17800750S
92792100A,16874337L
92792255C,30531764T
92792942V,98756131L
92793008Z,76730793X
92793529Y,27032450K
92794122R,98721312E
92794711S,18489195R
92795957L,65549897N
92796081M,33873708K
92797087E,04914941W
92797226T,21083629N
92797586S,18973277W
92797999Z,02502429Y
92798535K,81373062M
92799361L,66499277K
92800773M,79877801C
92801961C,05840670G
92802172R,92987216X
92802835C,94618599A
92804487Q,77221230H
92805490F,33411157T
92805765Y,28398076E
92806568G,96621881P
92808425K,37879524L
92809993W,62803543L
92810046D,67600132G
92811909D,44812487T
92812501A,21097381X
92814427C,38406086L
92816854D,99224681J
92816996J,19263249J
92820156E,88675342S
92820870T,71856925A
92821663B,58272972B
92823074L,51934299T
92823241W,83714702S
92823264W,70380721P
92823742C,21574922W
92824334Z,13074069H
92824942R,03578262Z
92824959H,42697338T
92827577Z,05337237H
92828951P,38366651Y
92829585K,12002498V
92830218X,05782112G
92830408Q,70799089Y
92830812Y,32885286R
92832101F,16732419B
92832337J,77009734F
92833676H,98838813Q
92834483C,94719501G
92834676Y,67865919A
92835044Y,87126572L
92835472C,59349845R
92835854B,50834672A
92836317Z,57799249L
92836648T,30520165Q
92837208P,23597166V
92837473C,92474030T
92838308G,34044477S
92839017T,70546795E
92841706K,27209194X
92841850G,12446958W
92842232H,44099150P
92842480J,28217377B
92845156K,87114983E
92846657G,17825812F
92850795W,84544625Y
92853318H,34883787D
92854880Q,95979879M
92855084J,79752270T
92855340Q,80003269T
92855593Q,57964600T
92856161D,46842270X
92857403D,92440118J
92857636N,75316944V
92863476X,04290515A
92864002F,04715758E
92864058V,05851824A
92864116Y,98630275L
92864490N,18779455R
92866809P,33303769E
92867465C,72471201H
92867910M,80054773F
92869089B,49543513H
92869734N,74504229F
92871752Y,23574099L
92871757B,14483287A
92873023N,25554081T
92873392J,91223735P
92874257G,31372330P
92875838K,22605480E
92878739R,50502182R
92878865N,98097253E
92879516L,39104856A
92879856Z,68893941V
92880079F,78758328A
92881253P,69894104W
92882791M,29084355G
92884112S,32060325G
92884617Z,49927254G
92885266L,92641780B
92885278P,49060750W
92885404L,46301698F
92885619G,01859506W
92886871Z,92475057S
92887373X,19535203S
92887374B,76109866Z
92887468J,29236187J
92887716P,86068673M
92889535X,55691493Y
92890337F,38947084B
92890603C,73802321J
92891394Y,17222772G
92893390R,49647539S
92893812D,67820395L
92894927C,73548919W
92894981M,22296091Y
92895563N,05244336Z
92896173R,61980647V
92896349Q,45363432A
92896684Y,33726145A
92897275E,33240079L
92897477V,19741175E
92898843A,42503798M
92899946W,54904040G
92901775Z,89487868C
92901820J,14830653T
92902849F,46576302Z
92904629Q,13433294Y
92906651Z,29966127W
92908372X,08849787P
92908952S,82351783F
92909055A,50862698S
92910466B,92152325L
92910834B,41620670P
92910946P,09142558N
92911232H,74794852W
92911288M,11946501W
92911502N,11224923A
92911523X,80244143H
92911526J,32408650V
92913472G,69320886J
92914030X,07576673J
92914056J,10070590V
92915427G,91205597V
92915493R,19173194A
92916147B,81009387Y
92918817J,18605529R
92922103X,79658848G
92922673M,95024793V
92923231B,05273401F
92924214M,19112284C
92925050J,88124309Q
92926407J,53086568S
92927536S,20460131K
92927697S,27586354Q
92927787J,34464772P
92928262M,71982193J
92928979D,12178822T
92929008S,43194776V
92929148V,09582820P
92930754J,49108878Z
92931638T,05990440K
92932497P,85844480Q
92935061L,10064600F
92935210F,70505970E
92935550W,16705759P
92937083V,88523076D
92937452H,70818414B
92937803R,29889726F
92938853Q,14129686G
92938856L,37052367B
92939471J,92047573D
92941185W,05097465K
92941925Y,45384019M
92942094Z,89029820V
92942124K,88442705T
92942746E,74422267V
92942792E,33159756N
92944054L,55170806Q
92944130A,54636177E
92944176A,11935595K
92944249F,52939545P
92945576T,37542722Y
92947088V,32136284V
92947229C,15939171X
92948024X,47112452B
92948081K,62838573C
92948229P,03861360M
92949088Q,78630400R
92951532E,51851318A
92951561M,51318890W
92953700M,98391534H
92954971B,98032254K
92955343S,93714426Y
92955583W,24661542E
92955590D,36858633Y
92957225B,59863167D
92958753K,65629508C
92959221Y,40808039J
92961253Z,04796562G
92964667R,53494526E
92965148E,52145549H
92967553N,49952795S
92968947A,93150147D
92970353Y,44706349F
92971129T,98399551P
92971682R,68618285Q
92972323K,38283489N
92973267E,04993055P
92973492V,31614586M
92973831B,72046161H
92974490A,71541098N
92975839H,92687623S
92976168W,85153588K
92978045Q,82199768E
92978422W,34414384J
92978584A,93064623E
92978673T,69392611R
92979012V,00262873Y
92979754T,09302308G
92979782M,77645514K
92979830F,96456610S
92981587Q,59600491Q
92982530Q,19167037X
92982751F,24177597C
92984411B,08054679X
92985082S,15686453Q
92985566Q,95649997N
92986503X,85815108S
92987883X,90606091Y
92988867M,68963661R
92989337S,71251565A
92989596K,12645515T
92990154G,56225495V
92990558V,71452139V
92991263D,88973727K
92991835Y,00885354S
92993448D,71002016G
92995228H,93797333K
92997897L,17825145F
92998215S,65273715Z
92999605W,27745375S
92999682X,91721556V
93000337K,09485960R
93002366A,17765921P
93002765B,92601777M
93002981C,12015757M
93004734W,87771120S
93006696D,34592447X
93006921G,40626388Q
93007466C,75751471M
93008311Z,42196401A
93008689R,85471686Y
93009087P,94213558S
93009889M,50697839C
93011093J,38662624S
93011541R,41885155Q
93012012N,74362826P
93013599N,86071855J
93014227L,56138327L
93014998P,07458154J
93015276X,91958335B
93015644X,49909284C
93015936A,26776949G
93016389L,48439301J
93020967C,78484074R
93023521K,00546035S
93025446Z,67049984Q
93025508F,47738667M
93026003L,77104955P
93026004C,35848990V
93026500X,01778833J
93026574S,69584530P
93027678S,73715225H
93028840G,65165788A
93028981F,51496581H
93029852G,11125280L
93035029Y,69862318W
93035305Y,25136488H
93036063M,32139374W
93037715R,32295861C
93037887N,54273770A
93040658T,60705109J
93041878R,75178381Y
93041984S,49725744C
93045210K,48656117P
93046638T,35016887P
93047971E,44732168C
93050269C,08700547S
93050312V,45814787Y
93050848R,28449955J
93052058S,96385587Q
93052405V,30727071Z
93053004H,42064879H
93053705Y,75288077S
93054962K,95120383L
93055057R,98835132S
93055877Q,46164033C
93056652D,61402455E
93060972M,60006446K
93061108A,39667472Q
93061537H,12016526S
93063365Y,54675339S
93064163E,81695171E
93064697G,06820841F
93064808T,74034756X
93065197K,73833387Y
